Start Time,End Time,Gap (seconds),Severity
2026-04-11 10:01:42,2026-04-11 13:52:42,13860.0,💀 CRITICAL
2026-04-11 13:53:17,2026-04-11 16:19:17,8760.0,💀 CRITICAL
2026-04-11 16:19:39,2026-04-11 17:43:39,5040.0,💀 CRITICAL
2026-04-11 17:43:39,2026-04-11 20:00:39,8220.0,💀 CRITICAL
2026-04-11 20:01:27,2026-04-11 22:14:27,7980.0,💀 CRITICAL
2026-04-11 22:16:44,2026-04-11 22:37:44,1260.0,🚨 ALERT
2026-04-11 22:38:29,2026-04-11 23:05:29,1620.0,💀 CRITICAL
2026-04-11 23:05:51,2026-04-12 03:00:51,14100.0,💀 CRITICAL
2026-04-12 03:00:54,2026-04-12 06:35:54,12900.0,💀 CRITICAL
2026-04-12 06:37:24,2026-04-12 08:06:24,5340.0,💀 CRITICAL
2026-04-12 08:07:13,2026-04-12 11:00:13,10380.0,💀 CRITICAL
2026-04-12 11:00:38,2026-04-12 12:25:38,5100.0,💀 CRITICAL
2026-04-12 12:26:59,2026-04-12 13:05:59,2340.0,💀 CRITICAL
2026-04-12 13:06:53,2026-04-12 14:46:53,6000.0,💀 CRITICAL
2026-04-12 14:47:35,2026-04-12 16:45:35,7080.0,💀 CRITICAL
2026-04-12 16:47:10,2026-04-12 19:35:10,10080.0,💀 CRITICAL
2026-04-12 19:35:29,2026-04-12 21:43:29,7680.0,💀 CRITICAL
